Detailed,,,,,,,
 ==================== ,,,,,,,
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID
109.38,25.28,52.99,um,Spot,Position,1,0
46.72,61.25,54.36,um,Spot,Position,1,1
182.09,68.51,39.20,um,Spot,Position,1,2
28.23,110.41,50.73,um,Spot,Position,1,3
60.10,35.55,65.81,um,Spot,Position,1,4
108.87,34.03,79.10,um,Spot,Position,1,5
172.60,58.69,83.78,um,Spot,Position,1,6
86.83,133.25,80.44,um,Spot,Position,1,7
95.76,46.38,96.95,um,Spot,Position,1,8
97.90,57.79,103.36,um,Spot,Position,1,9
107.58,55.75,105.09,um,Spot,Position,1,10
132.62,63.41,98.78,um,Spot,Position,1,11
132.75,74.14,102.47,um,Spot,Position,1,12
113.06,73.75,113.85,um,Spot,Position,1,13
104.74,104.55,111.51,um,Spot,Position,1,14
114.64,99.45,97.62,um,Spot,Position,1,15
26.20,115.44,94.46,um,Spot,Position,1,16
85.23,123.35,105.98,um,Spot,Position,1,17
96.63,115.94,97.06,um,Spot,Position,1,18
60.40,139.66,121.27,um,Spot,Position,1,19
47.44,149.21,127.32,um,Spot,Position,1,20
70.56,56.08,33.81,um,Spot,Position,1,21
88.85,135.32,47.79,um,Spot,Position,1,22
138.61,109.57,42.67,um,Spot,Position,1,23
26.58,85.68,91.57,um,Spot,Position,1,24
100.85,25.76,63.64,um,Spot,Position,1,25
141.89,32.03,58.05,um,Spot,Position,1,26
129.78,104.99,71.84,um,Spot,Position,1,27
134.41,96.88,69.19,um,Spot,Position,1,28
166.19,39.74,62.84,um,Spot,Position,1,29
43.91,144.64,116.57,um,Spot,Position,1,30
98.99,68.00,109.62,um,Spot,Position,1,31
143.32,72.64,93.03,um,Spot,Position,1,32
196.73,64.22,82.76,um,Spot,Position,1,33
142.95,84.10,92.16,um,Spot,Position,1,34
120.42,88.95,104.31,um,Spot,Position,1,35
174.81,49.91,67.90,um,Spot,Position,1,36
