
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
107.636,107.305,31.1963,um,Spot,Position,1,0,
144.865,129.722,29.0234,um,Spot,Position,1,1,
50.3646,77.8897,39.0088,um,Spot,Position,1,2,
41.5589,58.5925,40.702,um,Spot,Position,1,3,
65.025,88.0508,34.7379,um,Spot,Position,1,4,
83.8127,76.56,70.1493,um,Spot,Position,1,5,
66.2319,54.7931,73.506,um,Spot,Position,1,6,
111.486,48.0931,95.3554,um,Spot,Position,1,7,
157.527,35.9823,92.1906,um,Spot,Position,1,8,
152.075,90.1332,94.0316,um,Spot,Position,1,9,
173.927,81.9168,99.1971,um,Spot,Position,1,10,
170.587,54.6105,46.7247,um,Spot,Position,1,11,
100.156,105.115,38.779,um,Spot,Position,1,12,
132.382,113.933,49.6668,um,Spot,Position,1,13,
71.5779,98.1396,32.1323,um,Spot,Position,1,14,
47.591,51.055,43.3111,um,Spot,Position,1,15,
126.299,103.794,62.7111,um,Spot,Position,1,16,
73.5364,45.851,71.2085,um,Spot,Position,1,17,
129.322,122.508,32.1397,um,Spot,Position,1,18,
54.2234,35.136,56.078,um,Spot,Position,1,19,
169.232,71.0313,106.704,um,Spot,Position,1,20,
