
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
107.722,4.56763,13.6709,um,Spot,Position,1,0,
121.327,-3.62831,24.3333,um,Spot,Position,1,1,
118.4,-5.3499,28.5849,um,Spot,Position,1,2,
153,4.5941,25.1182,um,Spot,Position,1,3,
89.1696,10.7218,5.63062,um,Spot,Position,1,4,
83.4492,18.266,7.73681,um,Spot,Position,1,5,
68.2004,31.3503,9.97667,um,Spot,Position,1,6,
113.378,9.3143,3.59509,um,Spot,Position,1,7,
94.9877,27.8952,5.02681,um,Spot,Position,1,8,
126.024,18.3681,3.52437,um,Spot,Position,1,9,
125.021,11.7437,6.92028,um,Spot,Position,1,10,
139.882,13.7665,9.98155,um,Spot,Position,1,11,
144.561,24.01,0.231635,um,Spot,Position,1,12,
163.113,11.7524,18.2501,um,Spot,Position,1,13,
185.995,24.6257,25.4745,um,Spot,Position,1,14,
75.6444,44.4654,9.44044,um,Spot,Position,1,15,
145.455,52.6526,0.231635,um,Spot,Position,1,16,
160.671,53.624,7.62381,um,Spot,Position,1,17,
160.434,46.4882,9.96706,um,Spot,Position,1,18,
171.09,35.9281,11.6928,um,Spot,Position,1,19,
54.8427,65.1205,24.6856,um,Spot,Position,1,20,
163.653,59.9792,8.09233,um,Spot,Position,1,21,
149.873,81.7879,9.26862,um,Spot,Position,1,22,
177.6,59.4994,14.6849,um,Spot,Position,1,23,
177.244,70.1351,17.018,um,Spot,Position,1,24,
195.729,69.7881,28.7955,um,Spot,Position,1,25,
55.9532,88.4406,13.4284,um,Spot,Position,1,26,
72.2582,106.32,10.3879,um,Spot,Position,1,27,
182.884,87.2607,27.6954,um,Spot,Position,1,28,
48.1802,114.552,22.8772,um,Spot,Position,1,29,
130.507,121.656,16.5746,um,Spot,Position,1,30,
144.81,114.56,20.2036,um,Spot,Position,1,31,
156.123,109.621,28.9937,um,Spot,Position,1,32,
60.5885,137.546,23.259,um,Spot,Position,1,33,
51.8744,132.357,25.7209,um,Spot,Position,1,34,
102.508,134.98,12.4362,um,Spot,Position,1,35,
124.062,153.429,29.5858,um,Spot,Position,1,36,
89.9367,-7.51126,41.1717,um,Spot,Position,1,37,
102.182,-0.0594067,52.0653,um,Spot,Position,1,38,
106.422,4.75578,58.1304,um,Spot,Position,1,39,
130.701,-1.4604,36.8896,um,Spot,Position,1,40,
124.107,1.74187,52.1011,um,Spot,Position,1,41,
161.143,5.66745,41.2315,um,Spot,Position,1,42,
148.705,14.7001,58.4497,um,Spot,Position,1,43,
188.845,25.2499,31.1652,um,Spot,Position,1,44,
182.025,17.2796,35.0905,um,Spot,Position,1,45,
177.594,13.5394,37.0762,um,Spot,Position,1,46,
181.882,18.9252,39.752,um,Spot,Position,1,47,
168.054,9.99175,41.1067,um,Spot,Position,1,48,
177.339,16.8995,45.9115,um,Spot,Position,1,49,
180.554,20.3937,51.6586,um,Spot,Position,1,50,
174.267,18.7763,55.1027,um,Spot,Position,1,51,
191.625,27.3554,39.4658,um,Spot,Position,1,52,
62.2122,46.863,34.1482,um,Spot,Position,1,53,
58.0827,43.5696,58.4855,um,Spot,Position,1,54,
199.571,43.6539,43.5322,um,Spot,Position,1,55,
45.7839,65.3203,38.7081,um,Spot,Position,1,56,
47.5228,70.7248,53.6415,um,Spot,Position,1,57,
197.185,74.9461,37.8498,um,Spot,Position,1,58,
199.864,74.2921,44.5616,um,Spot,Position,1,59,
202.85,71.1878,54.4008,um,Spot,Position,1,60,
44.8768,94.8306,55.3263,um,Spot,Position,1,61,
164.993,100.453,35.6337,um,Spot,Position,1,62,
183.021,94.9285,31.8845,um,Spot,Position,1,63,
178.103,106.878,32.6721,um,Spot,Position,1,64,
180.16,100.522,38.7177,um,Spot,Position,1,65,
191.739,85.9129,54.1923,um,Spot,Position,1,66,
40.4351,113.303,35.332,um,Spot,Position,1,67,
45.3912,125.559,34.1301,um,Spot,Position,1,68,
44.1265,114.927,43.0289,um,Spot,Position,1,69,
43.5815,112.64,51.921,um,Spot,Position,1,70,
158.253,129.323,30.7819,um,Spot,Position,1,71,
159.924,118.412,35.1897,um,Spot,Position,1,72,
181.978,107.649,49.793,um,Spot,Position,1,73,
64.9581,150.164,31.4443,um,Spot,Position,1,74,
51.498,135.979,36.7341,um,Spot,Position,1,75,
63.2878,151.202,42.7102,um,Spot,Position,1,76,
58.3525,147.123,58.9358,um,Spot,Position,1,77,
71.7961,154.112,37.0161,um,Spot,Position,1,78,
67.3081,155.147,50.2191,um,Spot,Position,1,79,
146.901,152.518,58.6761,um,Spot,Position,1,80,
81.209,165.312,57.1381,um,Spot,Position,1,81,
107.343,162.258,35.965,um,Spot,Position,1,82,
97.5119,168.881,51.8851,um,Spot,Position,1,83,
121.686,167.953,51.7396,um,Spot,Position,1,84,
90.3309,6.44333,61.8617,um,Spot,Position,1,85,
111.231,7.70292,64.0627,um,Spot,Position,1,86,
116.385,4.61811,60.3387,um,Spot,Position,1,87,
84.6403,16.3692,66.0254,um,Spot,Position,1,88,
74.5304,26.4037,67.4009,um,Spot,Position,1,89,
88.1116,28.4924,79.6491,um,Spot,Position,1,90,
113.549,20.2678,79.3765,um,Spot,Position,1,91,
