
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
94.9424,20.1326,25.9049,um,Spot,Position,1,0,
80.1606,46.2631,8.56232,um,Spot,Position,1,1,
82.271,48.6159,11.2983,um,Spot,Position,1,2,
87.2718,26.0038,18.3471,um,Spot,Position,1,3,
101.423,36.8884,7.20823,um,Spot,Position,1,4,
101.027,27.7553,14.145,um,Spot,Position,1,5,
108.442,27.2754,27.3046,um,Spot,Position,1,6,
128.558,40.2372,8.03997,um,Spot,Position,1,7,
120.413,28.5594,20.6981,um,Spot,Position,1,8,
59.8943,68.2408,16.793,um,Spot,Position,1,9,
56.7071,49.8614,20.6318,um,Spot,Position,1,10,
47.9324,68.1632,26.0542,um,Spot,Position,1,11,
49.2085,52.1705,27.0413,um,Spot,Position,1,12,
109.791,50.812,0.231634,um,Spot,Position,1,13,
99.0978,62.976,2.11404,um,Spot,Position,1,14,
128.731,62.9702,0.231634,um,Spot,Position,1,15,
138.62,56.2501,2.75753,um,Spot,Position,1,16,
160.835,72.2213,8.64402,um,Spot,Position,1,17,
51.8975,83.1777,21.5724,um,Spot,Position,1,18,
54.6132,79.3472,22.4611,um,Spot,Position,1,19,
112.746,75.8803,1.88668,um,Spot,Position,1,20,
124.218,92.7311,2.39517,um,Spot,Position,1,21,
164.491,88.9814,13.0759,um,Spot,Position,1,22,
166.965,92.883,22.5262,um,Spot,Position,1,23,
136.445,104.237,7.25432,um,Spot,Position,1,24,
66.4448,20.077,52.6813,um,Spot,Position,1,25,
90.9581,15.9022,38.813,um,Spot,Position,1,26,
75.7516,16.9956,39.5253,um,Spot,Position,1,27,
72.8259,17.4947,51.7878,um,Spot,Position,1,28,
106.964,21.963,38.1588,um,Spot,Position,1,29,
43.1733,42.9235,39.1731,um,Spot,Position,1,30,
51.6548,44.7243,31.0144,um,Spot,Position,1,31,
47.6986,42.8133,31.1695,um,Spot,Position,1,32,
54.8266,27.7446,45.9685,um,Spot,Position,1,33,
76.1454,27.3523,45.9775,um,Spot,Position,1,34,
115.038,32.3542,30.9393,um,Spot,Position,1,35,
105.457,31.5594,49.8057,um,Spot,Position,1,36,
107.625,27.5593,51.1069,um,Spot,Position,1,37,
117.654,48.1101,56.5159,um,Spot,Position,1,38,
135.538,44.1976,52.5779,um,Spot,Position,1,39,
120.269,35.2397,54.3985,um,Spot,Position,1,40,
125.765,41.084,58.013,um,Spot,Position,1,41,
31.2182,59.6943,55.0767,um,Spot,Position,1,42,
45.0158,85.9985,31.6539,um,Spot,Position,1,43,
37.6394,92.6186,42.7306,um,Spot,Position,1,44,
30.5066,111.888,58.5591,um,Spot,Position,1,45,
66.9114,111.2,32.7481,um,Spot,Position,1,46,
137.14,112.982,37.7626,um,Spot,Position,1,47,
139.307,110.637,38.373,um,Spot,Position,1,48,
44.2576,136.332,51.2476,um,Spot,Position,1,49,
48.55,134.042,53.7621,um,Spot,Position,1,50,
78.0421,124.992,35.1256,um,Spot,Position,1,51,
116.993,157.446,31.6196,um,Spot,Position,1,52,
124.048,160.705,40.4548,um,Spot,Position,1,53,
110.145,185.454,51.5837,um,Spot,Position,1,54,
97.1828,179.845,54.1291,um,Spot,Position,1,55,
64.934,26.2809,65.254,um,Spot,Position,1,56,
46.5545,41.7075,67.933,um,Spot,Position,1,57,
61.1694,35.6079,75.1548,um,Spot,Position,1,58,
50.4309,42.2528,78.1912,um,Spot,Position,1,59,
72.0652,31.6219,69.7703,um,Spot,Position,1,60,
84.8807,41.5304,79.9099,um,Spot,Position,1,61,
95.6206,30.5107,60.6062,um,Spot,Position,1,62,
109.553,34.4582,62.5774,um,Spot,Position,1,63,
115.391,40.8568,67.2698,um,Spot,Position,1,64,
129.669,47.6129,63.1931,um,Spot,Position,1,65,
136.867,48.4048,63.6336,um,Spot,Position,1,66,
54.5635,57.2084,85.8486,um,Spot,Position,1,67,
88.671,52.643,86.0207,um,Spot,Position,1,68,
101.961,49.7685,81.1724,um,Spot,Position,1,69,
109.177,56.255,83.3751,um,Spot,Position,1,70,
117.726,67.1428,84.7959,um,Spot,Position,1,71,
117.544,52.7888,85.7435,um,Spot,Position,1,72,
105.652,61.5469,88.7043,um,Spot,Position,1,73,
140.504,72.4845,74.9132,um,Spot,Position,1,74,
133.712,65.3895,78.7015,um,Spot,Position,1,75,
131.717,72.9537,84.3753,um,Spot,Position,1,76,
121.223,52.9786,84.4946,um,Spot,Position,1,77,
145.378,57.6898,61.0826,um,Spot,Position,1,78,
149.125,66.4029,63.9406,um,Spot,Position,1,79,
