
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
166.938,67.1064,25.7212,um,Spot,Position,1,0,
157.368,97.8313,12.8912,um,Spot,Position,1,1,
183.362,97.7629,9.17518,um,Spot,Position,1,2,
174.099,92.6808,16.5331,um,Spot,Position,1,3,
189.694,77.3676,18.3418,um,Spot,Position,1,4,
181.49,73.4921,22.443,um,Spot,Position,1,5,
191.444,72.6413,22.7286,um,Spot,Position,1,6,
214.737,101.703,20.7711,um,Spot,Position,1,7,
207.326,83.826,23.2498,um,Spot,Position,1,8,
202.266,76.06,24.2188,um,Spot,Position,1,9,
209.188,78.2095,28.4094,um,Spot,Position,1,10,
133.263,119.567,27.8449,um,Spot,Position,1,11,
130.318,128.739,28.0925,um,Spot,Position,1,12,
162.4,104.065,10.3517,um,Spot,Position,1,13,
181.743,116.1,7.38296,um,Spot,Position,1,14,
177.322,121.814,7.26429,um,Spot,Position,1,15,
174.955,127.598,8.98594,um,Spot,Position,1,16,
192.341,103.726,10.5558,um,Spot,Position,1,17,
209.481,120.442,17.6143,um,Spot,Position,1,18,
209.78,108.619,20.15,um,Spot,Position,1,19,
216.6,123.441,21.2865,um,Spot,Position,1,20,
219.06,116.016,26.3007,um,Spot,Position,1,21,
220.145,110.041,27.8076,um,Spot,Position,1,22,
221.982,129.859,29.2858,um,Spot,Position,1,23,
135.174,157.686,23.4573,um,Spot,Position,1,24,
154.573,136.513,11.6893,um,Spot,Position,1,25,
165.329,138.962,12.1047,um,Spot,Position,1,26,
151.758,149.46,12.4104,um,Spot,Position,1,27,
144.352,146.316,15.8078,um,Spot,Position,1,28,
159.813,159.036,18.0079,um,Spot,Position,1,29,
139.371,160.209,18.6488,um,Spot,Position,1,30,
144.653,164.391,19.8315,um,Spot,Position,1,31,
188.318,159.692,5.8017,um,Spot,Position,1,32,
174.426,144.743,8.40292,um,Spot,Position,1,33,
178.609,163.485,9.60805,um,Spot,Position,1,34,
169.354,161.293,13.3939,um,Spot,Position,1,35,
200.354,141.366,10.7647,um,Spot,Position,1,36,
202.728,142.228,17.1703,um,Spot,Position,1,37,
206.07,139.597,19.4786,um,Spot,Position,1,38,
203.444,163.28,21.1176,um,Spot,Position,1,39,
219.665,138.849,23.3404,um,Spot,Position,1,40,
224.527,140.007,28.6228,um,Spot,Position,1,41,
221.978,157.281,29.3638,um,Spot,Position,1,42,
127.065,173.184,27.5422,um,Spot,Position,1,43,
164.06,168.177,13.7647,um,Spot,Position,1,44,
162.866,174.821,15.0025,um,Spot,Position,1,45,
164.114,195.553,24.0432,um,Spot,Position,1,46,
144.272,167.816,24.3903,um,Spot,Position,1,47,
143.455,187.691,24.1263,um,Spot,Position,1,48,
152.883,191.19,25.941,um,Spot,Position,1,49,
137.861,188.614,29.2851,um,Spot,Position,1,50,
182.818,166.493,12.863,um,Spot,Position,1,51,
178.934,171.491,14.7504,um,Spot,Position,1,52,
169.672,173.137,14.5234,um,Spot,Position,1,53,
167.354,179.806,15.4734,um,Spot,Position,1,54,
170.578,193.574,22.9397,um,Spot,Position,1,55,
182.862,195.161,25.4578,um,Spot,Position,1,56,
197.443,194.057,27.9622,um,Spot,Position,1,57,
199.737,173.966,20.122,um,Spot,Position,1,58,
200.949,180.98,22.6886,um,Spot,Position,1,59,
138.068,27.6407,48.5832,um,Spot,Position,1,60,
157.434,34.0603,48.6268,um,Spot,Position,1,61,
165.222,31.0571,50.9488,um,Spot,Position,1,62,
161.983,38.2698,50.502,um,Spot,Position,1,63,
159.107,27.0772,51.634,um,Spot,Position,1,64,
145.135,20.7463,56.3733,um,Spot,Position,1,65,
146.709,27.5455,56.2554,um,Spot,Position,1,66,
174.469,32.242,57.7643,um,Spot,Position,1,67,
126.473,55.8203,48.2738,um,Spot,Position,1,68,
134.032,47.4023,50.7693,um,Spot,Position,1,69,
128.344,70.9132,50.6367,um,Spot,Position,1,70,
157.098,54.8867,43.0495,um,Spot,Position,1,71,
164.746,54.5722,43.3213,um,Spot,Position,1,72,
148.628,53.5163,45.1838,um,Spot,Position,1,73,
156.749,41.3791,47.2768,um,Spot,Position,1,74,
150.385,47.2399,48.0402,um,Spot,Position,1,75,
164.671,43.2041,49.058,um,Spot,Position,1,76,
140.361,51.0373,49.5213,um,Spot,Position,1,77,
145.869,52.4087,52.2891,um,Spot,Position,1,78,
138.739,58.2786,53.9434,um,Spot,Position,1,79,
176.936,68.1588,29.9647,um,Spot,Position,1,80,
170.069,58.1871,34.6255,um,Spot,Position,1,81,
169.301,54.3252,38.1674,um,Spot,Position,1,82,
179.502,52.5038,40.039,um,Spot,Position,1,83,
190.164,50.5854,48.4603,um,Spot,Position,1,84,
202.148,72.1416,30.3632,um,Spot,Position,1,85,
208.209,69.9826,42.0112,um,Spot,Position,1,86,
200.486,64.11,44.6893,um,Spot,Position,1,87,
200.098,59.3623,46.8534,um,Spot,Position,1,88,
209.988,71.9021,48.9151,um,Spot,Position,1,89,
139.765,81.7238,44.856,um,Spot,Position,1,90,
226.486,101.849,34.3716,um,Spot,Position,1,91,
213.683,76.7113,35.4867,um,Spot,Position,1,92,
210.299,85.8055,37.1783,um,Spot,Position,1,93,
219.416,86.555,38.5129,um,Spot,Position,1,94,
225.836,97.6805,46.3326,um,Spot,Position,1,95,
224.555,91.0885,48.3039,um,Spot,Position,1,96,
210.098,84.5305,50.7329,um,Spot,Position,1,97,
227.026,97.9462,53.0158,um,Spot,Position,1,98,
127.602,121.418,38.7162,um,Spot,Position,1,99,
227.75,115.633,38.6253,um,Spot,Position,1,100,
212.322,122.447,38.6891,um,Spot,Position,1,101,
228.373,122.858,39.6636,um,Spot,Position,1,102,
231.88,134.157,35.0849,um,Spot,Position,1,103,
233.392,129.212,42.4199,um,Spot,Position,1,104,
231.049,109.676,49.3953,um,Spot,Position,1,105,
232.083,116.373,50.5712,um,Spot,Position,1,106,
232.904,111.984,55.3807,um,Spot,Position,1,107,
100.658,165.73,55.4309,um,Spot,Position,1,108,
115.058,141.092,45.4602,um,Spot,Position,1,109,
108.385,136.921,50.7899,um,Spot,Position,1,110,
226.631,146.75,30.3666,um,Spot,Position,1,111,
220.435,165.641,30.9725,um,Spot,Position,1,112,
229.002,140.919,32.4387,um,Spot,Position,1,113,
228.805,157.917,35.2794,um,Spot,Position,1,114,
229.129,138.349,38.2955,um,Spot,Position,1,115,
223.847,141.972,43.6211,um,Spot,Position,1,116,
228.94,159.205,45.5394,um,Spot,Position,1,117,
225.35,152.391,51.9306,um,Spot,Position,1,118,
232.306,144.373,36.0425,um,Spot,Position,1,119,
231.014,150.72,39.1782,um,Spot,Position,1,120,
232.095,156.41,41.4352,um,Spot,Position,1,121,
235.35,142.737,42.4317,um,Spot,Position,1,122,
230.371,163.811,42.8522,um,Spot,Position,1,123,
230.357,146.421,44.3849,um,Spot,Position,1,124,
236.029,135.606,44.5295,um,Spot,Position,1,125,
235.247,150.305,46.4828,um,Spot,Position,1,126,
233.108,156.308,48.5715,um,Spot,Position,1,127,
235.846,139.82,49.2521,um,Spot,Position,1,128,
235.507,143.982,51.9874,um,Spot,Position,1,129,
234.412,148.892,55.7834,um,Spot,Position,1,130,
232.9,162.182,57.7397,um,Spot,Position,1,131,
130.527,180.604,30.8762,um,Spot,Position,1,132,
