
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
133.618,39.7891,6.94687,um,Spot,Position,1,0,
133.176,21.9965,18.1418,um,Spot,Position,1,1,
128.812,25.3177,21.0683,um,Spot,Position,1,2,
129.172,23.3159,24.0712,um,Spot,Position,1,3,
134.794,22.4552,25.2867,um,Spot,Position,1,4,
114.565,32.1224,27.3126,um,Spot,Position,1,5,
112.132,38.1214,28.9307,um,Spot,Position,1,6,
157.372,19.4111,12.7876,um,Spot,Position,1,7,
152.61,18.0201,14.6252,um,Spot,Position,1,8,
161.201,17.7754,18.9295,um,Spot,Position,1,9,
156.802,15.8686,19.3202,um,Spot,Position,1,10,
166.167,18.6361,25.5468,um,Spot,Position,1,11,
190.206,32.653,11.1179,um,Spot,Position,1,12,
178.599,30.8244,12.729,um,Spot,Position,1,13,
177.938,20.5796,15.265,um,Spot,Position,1,14,
196.406,29.7492,15.4739,um,Spot,Position,1,15,
188.803,20.7895,28.3442,um,Spot,Position,1,16,
212.778,36.5436,19.7638,um,Spot,Position,1,17,
203.217,25.8895,23.444,um,Spot,Position,1,18,
213.184,30.5361,28.5395,um,Spot,Position,1,19,
101.912,60.2733,12.5797,um,Spot,Position,1,20,
98.6206,66.028,13.0958,um,Spot,Position,1,21,
94.0458,68.4876,14.3513,um,Spot,Position,1,22,
94.0842,64.2682,17.1888,um,Spot,Position,1,23,
92.305,61.7507,22.0993,um,Spot,Position,1,24,
104.043,45.8125,23.4355,um,Spot,Position,1,25,
100.009,49.4452,25.8727,um,Spot,Position,1,26,
93.6908,55.8144,26.1095,um,Spot,Position,1,27,
138.856,45.4445,2.57542,um,Spot,Position,1,28,
157.345,67.3823,3.35157,um,Spot,Position,1,29,
150.161,66.2329,6.65931,um,Spot,Position,1,30,
199.32,46.7511,8.03883,um,Spot,Position,1,31,
215.998,55.3607,12.086,um,Spot,Position,1,32,
222.224,53.7067,15.0506,um,Spot,Position,1,33,
234.055,69.0722,21.182,um,Spot,Position,1,34,
237.439,68.3828,25.0597,um,Spot,Position,1,35,
237.022,54.191,28.6011,um,Spot,Position,1,36,
71.7477,93.2255,22.0999,um,Spot,Position,1,37,
76.3903,82.7716,26.7534,um,Spot,Position,1,38,
118.408,73.5638,7.71042,um,Spot,Position,1,39,
174.324,83.1924,10.7503,um,Spot,Position,1,40,
188.37,96.9846,10.7837,um,Spot,Position,1,41,
203.272,76.3967,8.65864,um,Spot,Position,1,42,
213,82.2197,9.6228,um,Spot,Position,1,43,
206.263,100.377,16.1079,um,Spot,Position,1,44,
218.536,94.7349,17.7974,um,Spot,Position,1,45,
221.629,99.103,20.209,um,Spot,Position,1,46,
241.831,75.586,28.4667,um,Spot,Position,1,47,
65.8371,111.964,17.0642,um,Spot,Position,1,48,
56.4962,116.624,26.5726,um,Spot,Position,1,49,
85.3783,115.084,3.87154,um,Spot,Position,1,50,
92.3408,123.238,6.72644,um,Spot,Position,1,51,
86.5602,128.192,6.57618,um,Spot,Position,1,52,
101.296,121.969,7.23116,um,Spot,Position,1,53,
102.29,133.609,8.62453,um,Spot,Position,1,54,
119.101,110.415,4.79168,um,Spot,Position,1,55,
110.003,130.124,9.05698,um,Spot,Position,1,56,
200.792,104.928,18.8831,um,Spot,Position,1,57,
217.973,117.492,19.7134,um,Spot,Position,1,58,
219.989,134.015,29.3971,um,Spot,Position,1,59,
65.3039,164.391,21.8632,um,Spot,Position,1,60,
81.6445,149.724,5.45213,um,Spot,Position,1,61,
90.3339,140.85,6.68557,um,Spot,Position,1,62,
78.4944,140.857,8.6167,um,Spot,Position,1,63,
93.323,148.535,8.57813,um,Spot,Position,1,64,
80.4173,162.153,11.2303,um,Spot,Position,1,65,
76.7974,151.627,12.1885,um,Spot,Position,1,66,
118.684,147.719,10.5424,um,Spot,Position,1,67,
72.3462,178.96,25.3044,um,Spot,Position,1,68,
70.1489,172.638,26.2623,um,Spot,Position,1,69,
95.4445,170.279,12.8598,um,Spot,Position,1,70,
103.239,174.196,12.8555,um,Spot,Position,1,71,
84.0112,169.534,13.001,um,Spot,Position,1,72,
100.937,185.918,16.8925,um,Spot,Position,1,73,
92.0425,185.334,20.0741,um,Spot,Position,1,74,
102.409,191.668,20.2392,um,Spot,Position,1,75,
124.838,192.174,21.5776,um,Spot,Position,1,76,
135.786,184.726,17.5669,um,Spot,Position,1,77,
111.306,202.293,27.4537,um,Spot,Position,1,78,
