
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
98.4431,28.1218,27.4093,um,Spot,Position,1,0,
117.034,36.4834,15.1621,um,Spot,Position,1,1,
126.601,40.1063,16.608,um,Spot,Position,1,2,
135.56,20.4107,18.3692,um,Spot,Position,1,3,
116.382,20.3088,22.2312,um,Spot,Position,1,4,
130.468,12.0949,25.5709,um,Spot,Position,1,5,
121.855,12.2985,26.6033,um,Spot,Position,1,6,
145.299,37.8393,16.9281,um,Spot,Position,1,7,
165.289,26.5883,20.6357,um,Spot,Position,1,8,
161.284,30.2366,21.95,um,Spot,Position,1,9,
172.942,30.6223,20.4032,um,Spot,Position,1,10,
172.933,17.9075,24.692,um,Spot,Position,1,11,
75.0929,69.9494,20.2899,um,Spot,Position,1,12,
78.9573,55.7515,25.8589,um,Spot,Position,1,13,
122.748,70.9085,5.45103,um,Spot,Position,1,14,
105.701,64.3231,12.1942,um,Spot,Position,1,15,
179.971,63.1824,23.4367,um,Spot,Position,1,16,
200.431,47.2668,22.9838,um,Spot,Position,1,17,
207.81,47.934,25.4685,um,Spot,Position,1,18,
51.8567,89.2521,29.4579,um,Spot,Position,1,19,
86.9511,94.3255,6.86716,um,Spot,Position,1,20,
100.854,81.5806,12.4952,um,Spot,Position,1,21,
105.181,79.9296,12.7143,um,Spot,Position,1,22,
130.142,85.2668,17.8579,um,Spot,Position,1,23,
62.5403,130.666,12.7993,um,Spot,Position,1,24,
69.1911,118.905,14.0186,um,Spot,Position,1,25,
55.4088,131.103,17.5705,um,Spot,Position,1,26,
53.5341,103.883,18.3263,um,Spot,Position,1,27,
47.47,129.701,20.784,um,Spot,Position,1,28,
85.4625,107.285,5.07143,um,Spot,Position,1,29,
74.2299,127.116,9.65742,um,Spot,Position,1,30,
65.7411,136.405,15.7853,um,Spot,Position,1,31,
56.8907,142.556,22.8192,um,Spot,Position,1,32,
66.9632,161.683,23.9421,um,Spot,Position,1,33,
73.4357,164.114,22.0128,um,Spot,Position,1,34,
107.584,139.665,12.3408,um,Spot,Position,1,35,
135.534,162.403,22.3619,um,Spot,Position,1,36,
115.201,7.38491,36.8891,um,Spot,Position,1,37,
120.245,5.85328,37.4166,um,Spot,Position,1,38,
111.938,9.44413,40.9173,um,Spot,Position,1,39,
122.408,6.15055,52.4368,um,Spot,Position,1,40,
129.305,1.95916,54.6533,um,Spot,Position,1,41,
146.291,1.96115,56.2177,um,Spot,Position,1,42,
178.513,0.551464,36.4654,um,Spot,Position,1,43,
