Tcc/h;stage;bin;;;;;;;
11.5;26.5;24;;;;;;;
9.5;25.25;24;;;;;;;
11.5;26.5;24;;;;;;;
5.083333333;26.375;24;;;;;;;
6.083333333;26.70833333;24;;;;;;;
6;24.91666667;24;;;;;;;
6.25;25.04166667;24;;;;;;;
6;24.25;24;;;;;;;
5.25;26.125;24;;;;;;;
5.916666667;26.45833333;24;;;;;;;
7.083333333;24.54166667;24;;;;;;;
4.833333333;25.75;24;;;;;;;
5.333333333;26;24;;;;;;;
4.75;26.54166667;24;;;;;;;
4.333333333;24.66666667;24;;;;;;;
4.833333333;24.91666667;24;;;;;;;
4.333333333;24.66666667;24;;;;;;;
4.333333333;26.25;24;;;;;;;
4.833333333;26.5;24;;;;;;;
5.166666667;26.83333333;24;;;;;;;
5;26.83333333;24;;;;;;;
6.583333333;26.875;24;;;;;;;
4.25;26.70833333;24;;;;;;;
4.5;26.83333333;24;;;;;;;
6.3;31.25;30;;;;;;;
6.65;31.425;30;;;;;;;
6;32;30;;;;;;;
6.05;32.025;30;;;;;;;
5.45;31.575;30;;;;;;;
6.4;32.05;30;;;;;;;
6.25;31.54166667;30;;;;;;;
5.833333333;31.75;30;;;;;;;
6.083333333;32.20833333;30;;;;;;;
5.25;32.79166667;30;;;;;;;
5.5;31.75;30;;;;;;;
5.75;28.79166667;30;;;;;;;
12.08333333;30.54166667;30;;;;;;;
5.333333333;27.25;30;;;;;;;
14.58333333;29.20833333;30;;;;;;;
14;28.91666667;30;;;;;;;
16.25;30.79166667;30;;;;;;;
17.5;31.41666667;30;;;;;;;
14.25;28.45833333;30;;;;;;;
13.33333333;28;30;;;;;;;
14;28.75;30;;;;;;;
13;28.25;30;;;;;;;
14.5;28.25;30;;;;;;;
11.08333333;28.20833333;30;;;;;;;
6.25;27.29166667;30;;;;;;;
6.083333333;27.45833333;30;;;;;;;
5.416666667;27.125;30;;;;;;;
6.333333333;29.5;30;;;;;;;
7.833333333;30.25;30;;;;;;;
8.833333333;28.33333333;30;;;;;;;
14.91666667;31.375;30;;;;;;;
9.25;29.20833333;30;;;;;;;
5.916666667;27.875;30;;;;;;;
6.666666667;28.25;30;;;;;;;
8.166666667;27.66666667;30;;;;;;;
5.75;29.375;30;;;;;;;
6.583333333;31.625;30;;;;;;;
7.583333333;32.125;30;;;;;;;
5.666666667;30.91666667;30;;;;;;;
5.916666667;31.04166667;30;;;;;;;
